,순위,영화명,개봉일,매출액,관객수,스크린수,배급사,coach,actor_main_name,actor_sub_name,actor_cameo_name,maker,only_gener,genre_one,year
97,98,강철비,2017.12.14,"35,489,576,466",4452740,"1,426",넥스트엔터테인먼트월드(NEW),양우석,"['정우성', '곽도원']","['김갑수', '김의성', '이경영', '조우진', '정원중', '김명곤', '박은혜', '김지호', '안미나', '원진아']",,"['와이웍스엔터테인먼트', '브이에이스튜디오']"," 액션, 드라마 ",액션,2017
98,99,다만 악에서 구하소서,2020.8.5,"38,602,260,990",4357803,"1,998",씨제이이엔엠,홍원찬,"['황정민', '이정재', '박정민']","['박소이', '최희서', '송영창', '이서환', '박명훈', '오대환', '심영은']",['최병모'],['하이브미디어코프']," 범죄, 액션 ",범죄,2020
99,100,헌트,2022.8.10,"44,600,858,153",4352390,"1,625",플러스엠 엔터테인먼트,이정재,"['이정재', '정우성', '전혜진', '허성태', '고윤정', '김종수', '정만식']","['임형국', '정경순', '정재성', '송영창', '강경헌', '임성재', '정성모', '손성호', '김학선', '오만석', '김문찬', '박건우', '이채은', '김윤도', '송덕호', '이서한', '장서경', '김찬형', '송철호', '김형범', '경성환', '윤정섭', '최우준', '정재현', '김효준', '차래형', '박중근', '홍성덕', '문정대', '이도국', '이한주', '고서희', '손경원', '이태형', '조진결', '고경만', '김호준', '김은우', '정종우', '박민이', '윤대열', '김완수', '김결', '김덕주', '민경옥', '김송일', '김동훈', '권은성', '박윤희']","['황정민', '이성민', '유재명', '박성웅', '조우진', '김남길', '주지훈']","['아티스트스튜디오', '사나이픽처스']"," 액션, 드라마 ",액션,2022
100,101,강철중: 공공의 적 1-1,2008.6.19,"28,465,757,767",4300670,659,"씨제이이엔엠,시네마서비스",강우석,"['설경구', '정재영', '김영필']","['강신일', '유해진', '탁트인', '이상현', '이재원', '조한영', '박창용', '박태훈', '김건호', '김재득', '임장현', '정원중']",,"['시네마서비스글로벌', '시네마서비스']"," 드라마, 액션 ",드라마,2008
101,102,아가씨,2016.6.1,"35,211,229,991",4287839,"1,171",씨제이이엔엠,박찬욱,"['김민희', '김태리', '하정우', '조진웅']","['김해숙', '문소리', '김인우', '이용녀']",,"['유한회사 아가씨에프에스', '모호필름', '용필름']"," 스릴러, 드라마 ",스릴러,2016
102,103,용의자,2013.12.24,"30,037,161,000",4131248,807,쇼박스,원신연,"['공유', '박희순', '조성하', '유다인', '김성균', '조재윤']","['김민재', '김의성', '송재림', '최종률', '남보라', '기주봉', '박지일']",['송재호)'],"['그린피쉬', '쇼박스']"," 액션, 스릴러 ",액션,2013
103,104,건축학개론,2012.3.22,"30,219,800,500",4110645,593,롯데쇼핑㈜롯데엔터테인먼트,이용주,"['엄태웅', '한가인', '이제훈', '배수지']","['고준희', '조정석', '신예진', '유연석', '조현철', '김의성', '이승호', '박수영']",,['명필름']," 멜로/로맨스, 드라마 ",멜로/로맨스,2012
104,105,태풍,2005.12.14,0,4094395,115,씨제이이엔엠,곽경택,"['이정재', '이미연', '장동건']","['김혜정', '김원진', '추현경', '허욱', '신성일', '김형찬', '홍의정', '김이호', '나수원', '박태호', '김경환', '김상용', '민성주', '민지환', '박광설', '유승권', '박병렬', '김철준', '이주헌', '박찬영', '데이비드맥기니스']",,['씨제이이엔엠']," 드라마, 액션 ",드라마,2005
105,106,7급 공무원,2009.4.22,"26,701,311,856",4088799,475,롯데쇼핑㈜롯데엔터테인먼트,신태라,"['김하늘', '강지환', '임성현']","['유승목', '강규영', '강신일', '장남열', '김형범', '장영남']",,"['하리마오픽쳐스', '영화사수작', '디씨지플러스']"," 코미디, 액션, 드라마, 범죄 ",코미디,2009
106,107,색즉시공,2002.12.11,0,4082797,41,쇼박스,윤제균,"['임창정', '하지원', '최성국', '유채영']","['정민', '이경원']","['박준규', '기주봉', '선우은숙']",['필름지'], 코미디 ,코미디,2002
